,자치구,평균급여,임금근로자,여성인구,미혼남녀,2030인구,2030여인구,일반쓰레기,폐의류 배출량
22,종로구,4905173.894,55841,78258,50954,42272,21592,794.4,5629.6
17,송파구,5208511.238,285563,340762,190584,197052,103170,1206.7,3925.6
10,동대문구,3569903.382,133447,180952,116872,105294,52592,1855,3887.1
1,강동구,4159616.503,190489,203618,126689,131564,66827,1347.9,2510
16,성북구,4051139.184,171396,227816,140530,123995,63387,567,2396.6
15,성동구,4816890.133,121149,163437,92820,90278,45851,406.9,2265.8
0,강남구,7468770.889,212336,263719,159451,148436,78992,3909.3,2152
8,노원구,3842451.787,203048,267773,151495,133094,65911,1424,2094
20,용산구,6492377.842,92229,115123,72856,70497,36424,1490,1964
3,강서구,3746523.523,256216,299177,179632,183483,94943,985.2,1949.5
14,서초구,7440640.322,166490,210886,114850,111554,59278,911.8,1938.1
2,강북구,2952803.335,118492,155861,94432,78121,38643,512.1,1834.9
11,동작구,4178543.337,167315,207586,133195,125708,63657,531.6,1660
4,관악구,3207181.72,231001,254324,211703,193710,93765,858,1634
18,양천구,4683469.488,181575,223593,122269,113045,56443,721,1580
6,구로구,3541138.47,176311,214910,116976,114774,57352,982.9,1519
5,광진구,3847833.279,151642,184516,125672,116331,60330,0,1364.4
12,마포구,4800897.934,159345,194175,126484,124950,67478,2359.3,1329
24,중랑구,3119719.264,159801,195412,120422,111153,55191,714.4,1183.1
21,은평구,3507205.193,192218,241170,141363,132309,68248,983.5,1167
19,영등포구,4446545.698,169903,195411,119623,128096,65509,812.8,1085.5
7,금천구,3082192.23,105682,122137,77089,73772,35196,518.5,922.2
13,서대문구,4216992.277,128446,168778,105755,93131,48039,690.3,775
23,중구,4731592.953,50025,65511,41910,38195,19809,2970.7,84
9,도봉구,3241635.376,126932,165805,92281,80742,39636,1098,46.3
